event_id,timestamp_utc,country,region,city,site_code,latitude,longitude,agent_id,agent_rank,agent_clearance,team_id,operation_id,operation_codename,operation_type,target_sector,target_importance_score,target_risk_level,intel_source_primary,intel_source_secondary,intel_confidence_score,threat_score_overall,threat_financial,threat_cyber,threat_physical,money_moved_usd,records_exfiltrated,compromised_accounts,channel_email,channel_phone,channel_darknet,channel_field_meet,status,triage_priority,requires_manual_review,escalated_to_level,false_positive_flag,model_version,notes_short,feature_01,feature_02,feature_03,feature_04,feature_05,feature_06,feature_07,feature_08,feature_09,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60
EVT-0000011,2024-04-16 15:02:29,DE,EU-CENTRAL,Berlin,DE-754,53.67207,15.01746,AG-2229,ANALYST,SECRET,T-033,OP-2024-000011,DEEPBLUE-696,CYBER_INTRUSION,Finance,2,LOW,HUMINT,CYBINT,62,27,26,29,25,127125,1719,24,Y,N,N,N,CLOSED,P3,N,1,N,aurora-1.0,anomaly detected,34.12,34.32,21.41,5.0,39.22,21.5,35.66,31.91,15.29,35.37,16.58,18.26,23.58,12.85,8.33,9.49,16.68,9.09,14.21,9.95,10.85,14.05,11.45,19.5,23.96,18.23,23.81,15.0,19.41,17.17,53.25,52.49,53.52,60.67,73.0,41.97,79.69,65.03,57.76,60.92,38.25,45.92,0,41.87,7.8,34.84,10.27,12.05,0,0,0,16.08,0,0,21.61,6.82,58.97,8.38,0,18.19
EVT-0000012,2024-04-06 06:46:17,RU,EU-EAST,Moscow,RU-244,54.78815,36.86206,AG-7293,HQ,SECRET,T-016,OP-2024-000012,NIGHTFALL-834,INSIDER_TRADING,Defense,6,MEDIUM,HUMINT,OSINT,53,42,50,43,34,206063,1111,94,Y,N,Y,N,CLOSED,P3,N,1,N,aurora-2.0,incomplete metadata,46.25,42.07,48.87,55.21,44.45,30.94,34.75,42.24,47.84,49.59,21.06,18.81,25.4,22.55,14.39,18.92,23.36,20.08,22.69,17.57,11.46,2.32,10.77,9.4,9.28,15.42,5.5,10.84,11.52,11.25,92.2,92.29,75.95,78.22,100,85.7,91.21,89.49,71.02,100,47.36,7.62,23.69,25.14,13.81,18.34,0,11.62,26.43,47.07,21.22,5.2,3.76,7.51,13.49,36.8,13.84,0,0,17.89
EVT-0000013,2024-03-19 11:24:37,GB,EU-WEST,London,GB-947,51.59999,1.43109,AG-5450,FIELD,CONFIDENTIAL,T-040,OP-2024-000013,DEEPBLUE-601,CYBER_INTRUSION,Healthcare,6,HIGH,SIGINT,OSINT,81,73,86,55,85,399681,3395,141,N,Y,N,N,CLOSED,P2,N,1,N,aurora-1.1,pattern matches known cluster,78.27,75.61,92.65,72.19,56.1,75.21,64.78,76.41,58.56,89.28,38.85,37.5,30.03,42.12,36.85,29.82,41.31,46.45,38.01,41.99,32.35,38.37,42.95,41.03,27.56,34.35,41.14,40.39,30.05,35.91,100,100,100,100,100,100,100,100,100,100,20.81,7.33,33.98,88.19,34.05,39.97,0,0.96,10.24,9.26,14.17,28.5,33.77,3.62,62.03,75.26,40.24,12.63,27.98,42.64
EVT-0000014,2024-01-13 07:47:25,SK,EU-CENTRAL,Bratislava,SK-393,47.92988,18.076,AG-7887,SENIOR,SECRET,T-029,OP-2024-000014,PHOENIX-385,MONEY_LAUNDERING,Government,1,LOW,OSINT,SIGINT,35,33,37,38,24,135766,2209,65,Y,Y,Y,N,NEW,P3,N,1,N,aurora-1.1,incomplete metadata,36.25,30.47,5.31,36.67,37.48,44.02,38.35,20.97,35.95,17.49,11.19,16.33,16.04,10.88,15.05,11.51,10.87,13.43,10.29,9.55,18.75,11.87,21.4,28.39,17.65,28.81,21.56,28.04,26.23,17.26,54.06,46.25,67.51,56.78,51.65,54.15,52.95,51.55,50.99,43.82,27.31,11.9,40.57,0,30.6,10.67,11.93,50.12,0,7.33,0,34.37,37.27,0.13,41.89,15.33,0,27.25,21.56,0
EVT-0000015,2024-03-06 08:03:04,CZ,EU-CENTRAL,Prague,CZ-850,50.78344,13.24716,AG-9954,ANALYST,CONFIDENTIAL,T-035,OP-2024-000015,DEEPBLUE-981,MONEY_LAUNDERING,Finance,4,LOW,SIGINT,HUMINT,39,33,36,39,23,155595,2078,77,N,N,Y,N,DISMISSED,P3,N,1,Y,aurora-1.0,possible duplicate event,43.73,35.37,43.82,38.28,24.09,31.5,30.93,34.68,31.17,32.78,20.57,25.66,14.99,12.95,22.61,21.59,16.51,11.57,13.75,15.18,21.79,24.74,14.88,25.58,17.24,18.86,13.9,31.45,14.73,32.04,64.57,68.09,89.6,72.67,86.59,51.25,84.27,64.08,60.82,82.94,0,39.44,22.69,24.63,0,0,38.38,0,42.51,23.27,2.26,0.51,24.36,35.38,5.8,24.96,52.58,20.06,23.33,21.43
EVT-0000016,2024-03-06 19:52:14,CN,ASIA-PAC,Beijing,CN-242,39.34961,115.57366,AG-3390,JUNIOR,CONFIDENTIAL,T-028,OP-2024-000016,SPECTRUM-432,INSIDER_TRADING,Logistics,6,MEDIUM,SIGINT,FININT,68,56,67,52,50,282065,2740,82,N,N,N,Y,IN_REVIEW,P3,N,1,N,aurora-1.2,anomaly detected,44.49,48.6,56.88,67.7,69.64,59.89,43.01,51.28,46.69,56.82,30.82,21.16,26.45,31.81,23.56,26.82,28.15,27.05,16.36,36.86,25.75,20.13,24.98,31.01,31.72,31.21,23.59,24.97,23.6,30.41,70.55,75.67,92.79,82.81,79.63,76.6,86.14,83.47,92.11,75.22,13.59,39.94,0,94.77,25.65,25.8,3.72,40.29,5.59,34.08,5.43,31.86,23.59,34.7,0,3.59,18.01,32.96,3.15,57.81
EVT-0000017,2024-06-26 16:40:44,SK,EU-CENTRAL,Bratislava,SK-216,47.57825,18.41319,AG-9646,SENIOR,TOP_SECRET,T-025,OP-2024-000017,MIRAGE-402,RANSOMWARE,Energy,1,MEDIUM,OSINT,FININT,27,45,36,47,50,221190,1924,90,Y,Y,N,Y,CLOSED,P3,N,0,N,aurora-2.0,incomplete metadata,58.23,23.72,36.98,51.81,51.48,52.7,37.55,50.37,39.78,42.4,25.7,30.98,15.29,20.4,26.75,19.37,25.26,16.87,27.72,18.74,19.97,27.69,15.79,19.42,17.5,15.14,17.04,13.86,24.4,11.99,68.38,49.57,44.75,44.26,41.65,32.76,37.48,54.04,30.11,35.79,10.47,77.76,45.93,21.16,8.37,53.05,24.7,50.04,11.52,39.19,61.17,27.25,0,26.7,0,34.76,0,23.45,0,16.52
EVT-0000018,2024-02-08 16:06:13,RU,EU-EAST,Moscow,RU-741,56.43714,37.47179,AG-3035,FIELD,SECRET,T-030,OP-2024-000018,AURORA-982,ESPIONAGE,Healthcare,4,MEDIUM,HUMINT,FININT,73,64,61,54,81,302348,3214,122,Y,N,N,N,NEW,P2,Y,0,N,aurora-1.1,cross-border activity detected,60.72,57.73,79.6,72.67,78.57,78.53,63.55,64.77,78.93,64.9,16.65,31.48,32.35,27.93,39.74,36.77,27.56,30.11,30.11,25.88,25.21,36.33,23.0,33.33,25.47,40.7,34.66,34.21,29.91,26.7,53.93,64.89,70.67,63.63,79.18,68.72,79.66,65.18,67.89,69.85,16.27,49.66,0,28.48,41.97,35.46,10.4,10.88,41.06,49.67,18.25,52.06,69.41,22.64,0,24.51,0,27.31,47.58,33.36
EVT-0000019,2024-11-09 10:47:25,GB,EU-WEST,London,GB-539,50.96015,-1.69786,AG-2262,ANALYST,SECRET,T-033,OP-2024-000019,SPECTRUM-057,ESPIONAGE,Government,6,HIGH,OSINT,HUMINT,61,74,87,75,61,335404,3574,145,Y,N,Y,N,NEW,P2,Y,2,N,aurora-1.2,cross-border activity detected,81.87,66.9,73.83,68.32,75.73,92.72,64.1,65.54,78.28,82.02,35.54,37.77,31.72,20.24,33.0,34.43,29.86,33.33,39.67,40.12,37.24,36.1,45.85,32.0,35.95,40.33,27.08,35.66,27.62,33.42,100,100,100,100,100,100,100,100,100,100,37.31,54.06,9.94,19.17,44.53,72.82,28.6,59.11,45.58,37.32,50.25,47.15,0,31.11,24.0,48.37,52.2,21.36,37.96,44.88
EVT-0000020,2024-01-09 11:11:32,CN,ASIA-PAC,Beijing,CN-166,39.1788,116.93295,AG-3110,JUNIOR,SECRET,T-008,OP-2024-000020,AURORA-965,ESPIONAGE,Finance,1,MEDIUM,HUMINT,CYBINT,75,62,68,67,50,337536,1854,149,Y,N,N,N,CONFIRMED,P2,Y,0,N,aurora-2.0,possible duplicate event,64.79,68.15,69.48,60.22,56.89,71.89,60.89,67.34,81.74,59.72,25.33,33.17,38.61,34.81,33.68,37.72,44.19,32.04,33.43,14.07,18.17,15.26,8.33,24.31,28.04,14.07,10.36,24.53,11.28,17.92,24.88,42.99,75.53,40.12,58.82,51.91,59.99,48.1,53.04,26.07,18.8,41.23,21.34,4.02,30.94,28.52,44.47,41.77,28.18,30.93,83.83,0,17.98,21.78,56.95,59.81,27.15,58.99,31.14,0
EVT-0000021,2024-04-12 23:57:32,BR,LATAM,Sao Paulo,BR-314,-24.1516,-48.18924,AG-5205,JUNIOR,TOP_SECRET,T-001,OP-2024-000021,AURORA-396,ESPIONAGE,Education,2,MEDIUM,HUMINT,CYBINT,82,47,51,46,45,239283,3766,114,Y,N,N,N,DISMISSED,P3,N,0,Y,aurora-2.0,possible duplicate event,54.8,31.48,39.06,57.83,44.52,47.98,52.59,43.17,57.83,45.75,22.95,18.83,18.31,24.59,35.75,27.36,21.12,20.37,26.76,22.14,37.81,42.54,33.61,39.61,27.17,38.07,32.15,35.25,33.81,41.21,58.78,58.89,44.99,68.56,64.48,46.34,48.82,59.7,52.33,34.34,13.74,41.09,20.08,7.63,0,69.88,27.28,37.19,29.55,44.51,61.78,49.07,49.27,16.27,8.77,8.27,22.62,0,14.4,48.2
EVT-0000022,2024-01-16 01:28:45,BR,LATAM,Sao Paulo,BR-505,-22.61552,-47.23992,AG-4892,JUNIOR,TOP_SECRET,T-031,OP-2024-000022,SPECTRUM-919,INSIDER_TRADING,Finance,9,CRITICAL,OSINT,FININT,91,76,71,83,72,409923,3098,149,N,N,Y,N,CONFIRMED,P1,N,3,N,aurora-1.2,manual verification pending,59.5,51.41,84.37,58.77,90.58,73.35,83.92,82.34,75.0,82.12,44.14,45.96,40.01,50.04,42.63,41.32,43.55,45.1,47.82,37.61,31.36,29.59,29.52,27.68,29.08,31.25,24.07,34.43,34.34,26.09,100,100,100,100,100,100,100,100,100,100,36.25,50.84,19.68,25.55,14.69,49.71,50.51,0,25.6,32.71,61.03,20.95,46.79,47.53,76.73,49.69,0,23.06,6.61,16.97
EVT-0000023,2024-03-27 17:34:01,PL,EU-EAST,Warsaw,PL-862,53.12114,20.7259,AG-6428,SENIOR,SECRET,T-038,OP-2024-000023,SPECTRUM-475,MONEY_LAUNDERING,Logistics,2,HIGH,SIGINT,HUMINT,51,68,60,80,61,307681,3550,132,N,N,N,N,IN_REVIEW,P2,Y,2,N,aurora-2.0,anomaly detected,67.94,73.7,74.54,73.08,75.01,61.88,82.5,56.63,63.42,67.27,39.14,38.18,31.32,34.4,26.99,29.71,31.55,31.37,39.27,37.76,32.8,31.19,39.06,33.9,31.74,43.3,32.92,24.87,44.49,38.0,88.83,100,90.75,82.72,100,93.76,90.62,95.32,95.51,94.36,12.78,46.61,33.0,5.06,59.62,18.4,25.17,26.91,23.69,42.01,47.72,57.76,66.09,39.04,30.9,30.78,41.97,20.94,22.69,51.9
EVT-0000024,2024-11-26 21:12:13,DE,EU-CENTRAL,Berlin,DE-241,52.91205,12.21884,AG-6857,ANALYST,TOP_SECRET,T-018,OP-2024-000024,DEEPBLUE-096,INSIDER_TRADING,Defense,1,MEDIUM,HUMINT,SIGINT,58,46,41,57,38,240035,2481,108,N,Y,N,Y,NEW,P3,N,0,N,aurora-2.0,possible duplicate event,44.13,58.83,32.24,41.31,42.72,43.92,52.73,31.74,54.88,47.88,15.25,23.56,22.83,24.81,28.33,16.78,17.49,18.52,20.02,22.88,28.96,29.42,20.4,19.39,24.68,22.52,16.86,23.37,25.0,24.51,62.15,52.18,52.57,54.31,49.64,48.24,54.2,47.94,55.36,42.2,18.89,0,26.97,45.63,6.27,20.7,12.86,9.07,49.5,23.37,11.01,29.27,52.58,13.22,12.26,19.04,23.9,13.16,36.58,3.74
EVT-0000025,2024-02-10 05:11:34,RU,EU-EAST,Moscow,RU-496,56.13385,37.99948,AG-6273,HQ,SECRET,T-027,OP-2024-000025,MIRAGE-938,CYBER_INTRUSION,Telecom,9,CRITICAL,FININT,OSINT,78,36,18,47,38,177803,1167,47,N,N,N,N,NEW,P1,Y,1,N,aurora-1.2,possible duplicate event,30.87,23.47,34.51,33.43,23.34,42.72,21.15,33.46,9.65,47.24,11.82,11.37,11.84,10.53,13.96,14.13,17.97,18.9,19.15,3.81,9.1,15.0,17.65,15.93,6.67,10.32,7.71,11.06,4.42,13.1,100,100,100,100,100,100,100,100,100,100,19.14,18.31,22.98,32.69,55.92,24.39,17.13,12.38,0,6.22,0,38.9,0,4.75,42.46,24.77,3.75,30.52,16.08,15.7
EVT-0000026,2024-07-18 17:42:28,CZ,EU-CENTRAL,Prague,CZ-922,50.09647,14.3903,AG-5856,FIELD,SECRET,T-033,OP-2024-000026,AURORA-971,MONEY_LAUNDERING,Government,10,CRITICAL,CYBINT,SIGINT,60,48,42,63,34,240221,2542,110,N,Y,Y,N,NEW,P1,Y,2,N,aurora-1.0,anomaly detected,32.88,40.12,55.55,21.85,33.76,41.87,57.12,51.73,53.95,43.33,27.85,28.58,24.4,18.54,18.64,17.39,22.17,22.99,19.9,28.42,27.33,20.62,24.85,31.07,21.82,31.34,20.85,20.63,23.44,24.55,100,100,100,100,100,100,100,100,100,100,28.76,14.97,29.81,0.27,31.88,15.1,0,41.67,9.41,5.4,34.25,24.41,38.23,2.29,16.38,0,23.78,45.65,51.47,0
EVT-0000027,2024-05-22 01:40:36,FR,EU-WEST,Paris,FR-501,48.19254,3.33192,AG-5767,FIELD,SECRET,T-033,OP-2024-000027,MIRAGE-093,ESPIONAGE,Defense,1,MEDIUM,CYBINT,SIGINT,36,62,78,60,49,326554,2527,134,N,Y,Y,N,CLOSED,P2,Y,1,N,aurora-1.1,cross-border activity detected,55.65,46.59,66.55,56.77,57.95,38.49,66.25,69.78,76.79,60.01,39.88,31.69,30.78,31.26,40.8,29.57,36.07,27.06,34.44,32.05,30.41,32.6,24.9,21.64,31.23,28.07,30.94,18.56,27.56,30.17,49.76,39.78,53.23,45.05,46.33,52.81,42.35,62.77,32.38,29.62,29.76,12.56,29.12,34.55,6.63,10.0,61.21,24.32,43.6,34.32,13.92,0,20.84,20.83,18.32,22.19,0,30.52,26.47,34.97
EVT-0000028,2024-08-20 08:29:19,CZ,EU-CENTRAL,Prague,CZ-997,50.18045,13.5659,AG-1089,JUNIOR,TOP_SECRET,T-034,OP-2024-000028,AURORA-533,MONEY_LAUNDERING,Education,10,CRITICAL,HUMINT,FININT,53,63,81,65,43,329696,2121,139,Y,Y,N,N,NEW,P1,Y,2,N,aurora-2.0,manual verification pending,69.54,59.02,60.1,42.96,67.05,58.89,74.54,66.04,54.91,66.26,31.07,41.64,32.25,32.51,26.42,31.47,37.53,24.2,34.17,35.02,26.18,9.81,25.48,33.74,24.25,26.42,21.87,18.66,29.44,20.7,100,100,100,100,100,100,100,100,100,100,84.21,32.32,34.96,24.11,26.58,52.05,56.02,17.91,33.79,29.32,56.12,0,17.72,50.88,18.65,0,37.28,17.02,47.56,44.53
EVT-0000029,2024-03-19 17:55:16,PL,EU-EAST,Warsaw,PL-954,51.62897,21.43915,AG-3555,JUNIOR,CONFIDENTIAL,T-006,OP-2024-000029,DEEPBLUE-979,ESPIONAGE,Finance,10,CRITICAL,CYBINT,SIGINT,39,48,49,48,47,234201,3603,78,Y,Y,N,N,NEW,P1,Y,1,N,aurora-2.0,manual verification pending,39.99,46.04,39.47,45.82,54.96,46.45,37.13,45.01,57.43,72.39,18.16,22.7,29.82,29.55,29.71,29.05,20.31,23.45,18.82,20.21,38.43,34.38,38.36,41.33,37.94,35.31,33.1,36.07,31.14,27.41,100,100,100,100,100,100,100,100,100,100,4.28,58.95,43.03,18.42,15.24,49.92,35.42,8.64,0.45,18.86,38.14,37.46,51.81,44.78,12.67,0,27.83,36.65,0,15.6
EVT-0000030,2024-10-13 10:52:01,FR,EU-WEST,Paris,FR-390,48.72019,1.00728,AG-9630,FIELD,CONFIDENTIAL,T-003,OP-2024-000030,DEEPBLUE-366,INSIDER_TRADING,Logistics,1,MEDIUM,FININT,OSINT,54,63,66,73,45,318196,2546,135,N,Y,N,N,IN_REVIEW,P2,Y,1,N,aurora-2.0,anomaly detected,60.06,75.1,52.57,58.24,56.38,73.21,52.83,68.79,63.13,45.21,36.5,32.41,29.96,32.12,35.31,32.04,35.2,33.65,26.87,34.52,27.2,14.53,18.36,33.51,20.65,22.93,32.36,22.77,23.21,25.65,46.6,52.75,32.27,53.68,48.37,64.6,47.86,39.35,27.52,53.96,46.35,70.8,1.11,61.37,65.91,35.32,41.58,8.24,34.58,13.97,53.63,55.2,25.71,19.18,13.16,41.58,15.39,47.45,62.04,33.29
EVT-0000031,2024-05-03 00:13:35,RU,EU-EAST,Moscow,RU-671,56.44835,38.54141,AG-8187,FIELD,CONFIDENTIAL,T-025,OP-2024-000031,SPECTRUM-742,CYBER_INTRUSION,Telecom,10,CRITICAL,SIGINT,CYBINT,64,55,58,57,49,247110,3873,110,Y,Y,N,Y,IN_REVIEW,P1,Y,1,N,aurora-2.0,incomplete metadata,69.85,60.97,68.27,73.63,48.49,57.43,62.5,55.28,47.56,56.79,17.94,32.68,19.49,28.67,24.81,21.83,22.84,24.44,22.44,22.31,38.94,34.63,33.62,35.06,43.81,43.7,44.35,37.43,37.05,34.52,100,100,100,100,100,100,100,100,100,100,50.69,41.28,0,40.01,34.33,97.55,29.67,77.99,42.52,6.83,0,18.94,0,78.23,29.26,0,8.85,31.03,39.86,24.85
